Project_Name,Document_ID,Error,Model,Recommendation,Recommendation_Reasoning
Hodnota za peniaze v nákupe rýchlikových vozňov ZSSK,1.001,,GPT-5.1,Neutral,"The assessment does not explicitly endorse or reject the purchase. It highlights significant potential to reduce the need for coaches through higher utilization and occupancy (up to 68 coaches less needed when combining improvements), notes that the tendered prices are mostly higher than recent international purchases, and urges clearer strategic planning, better demand estimation, and evaluation of realistic alternatives (including used or modernized coaches). It also points out the necessity to consider future 200 km/h operation and the relatively modest certification costs to enable it. The Value for Money Unit recommends adhering to full value-for-money principles and life-cycle economic assessment before proceeding."
Modernizácia elektronickej komunikačnej siete ŽSR,1.012,,GPT-5.1,Neutral,"The assessment recognizes a relevant objective (increasing safety, reliability, interoperability and capacity), but recommends proceeding only with the essential scope. UHP considers the most cost‑effective solution is to implement only the activities needed for the priority southern branch Bratislava–Nové Zámky–Zvolen–Košice and the Bratislava–Komárno section, with total costs not exceeding 28.2 million EUR. Activities totaling about 13.9 million EUR are not necessary to meet the project’s goals. The study insufficiently assesses alternatives (no minimal scenario; leasing/outsourcing not evaluated), most costs (39.1 million EUR) are based on unverifiable internal sources, and unit prices are inflated due to a single 24/7 support model. Proceed only with the essential parts and submit detailed budgets before implementation."
"ŽSR, Elektrifikácia trate Haniska – Veľká Ida – Moldava nad Bodvou mesto",1.014,,GPT-5.1,Negative,"The Ministry of Finance SR (UHP) identifies significant risks that the project is not socially viable, especially the €25m electrification, which is likely not returnable. The CBA is not in line with methodology, compares against a fictitious high‑traffic scenario, and overestimates benefits (notably environmental savings and time savings). The assumed doubling of trains and large passenger growth are not supported by binding plans. Operating costs for ŽSR may increase after electrification, and the signalling replacement (€16m) is not a network priority. Only the €11m track superstructure/substructure renewal is deemed necessary and justified; other components should be reconsidered or resources redirected to higher‑return projects."
Modernizácia vozového parku ZSSK časti 6 a 7,1.036,,GPT-5.1,Negative,"Do not implement the projects as proposed. The Ministry of Finance/ÚHP found both parts socially non‑viable after correcting the CBA (BCR falls from 1.39 to 0.69 for DMJ and from 1.18 to 0.83 for EPJ). The projects are misaligned with ZSSK fleet needs (shortage of electric vehicles vs. sufficient diesel stock), and most targeted old vehicles would be retired by 2024 even without these projects due to ongoing procurements. Predicted costs are high versus comparable purchases (potential savings ~€13m for DMJ and ~€15m for EPJ), DMJ would be inefficient and worsen environmental impacts (over double fuel consumption, partial operation on electrified lines, low utilization ~155 km/day vs. 350–400 potential). EPJ are costly for a small order, reduce peak capacity by 15–28% on Bratislava–Žilina (necessitating extra trains and higher costs), and do not address the main shortage of electric locomotives. Recommended alternatives: light low-floor DMUs (approx. €45m saving) or purchase of electric locomotives, driving coaches and modernized coaches (~€21m saving), or regional EMUs. If proceeding anyway, reduce PHZ to €3.6m per DMJ and €15.9m per EPJ and adjust tender requirements."
"D1 Lietavská Lúčka – Dubná Skala, technológia tunela",1.045,,GPT-5.1,Positive,"The Ministry of Finance recommends implementing the project due to its high social priority and confirms the project is socially beneficial (“Projekt je spoločensky návratný”). It notes that the increase in technology costs has minimal impact on the project’s return. However, it advises reducing the estimated contract value to €65.5 million (from €71.5 million), choosing clear and objective procurement criteria to minimize tender duration, avoiding unnecessary limitation of bidders, and considering replacing the speed-of-delivery criterion with a requirement to deliver in line with the construction schedule."
ŽSR Zvýšenie priepustnosti trate Bratislava - Dunajská Streda - Komárno,1.056,,GPT-5.1,Negative,"Do not proceed with the project as proposed. The preferred full-scope variant (3+5+6+8+P; €922m) is over-dimensioned and economically weak: its base (variant 3) is non-returning (BCR 0.77) and the overall BCR 1.36 is achieved only thanks to electrification and grade separations. The project in this scope is deemed unrealizable given state investment priorities and budget (not feasible before 2030). UHP recommends instead to urgently implement the small, highly returning bottleneck removals (variant 1.1; €18m) and to prepare only clearly needed, optimized parts (~€400m) focused on revitalization and electrification of Bratislava–Dunajská Streda and double-tracking Bratislava–Kvetoslavov, aligning with the PDO and separately appraising the Šamorín and Komárom links."
Poskytovanie mýtnych služieb – opakovanie verejného obstarávania,1.064,,GPT-5.1,Neutral,"The updated business model reduces the expected contract value from 235.4 to 59.9 million EUR (-75%) and lowers 10-year total ownership costs from 305.9 to 224.2 million EUR (-81.7 million; -27%), with potential additional savings of 21.7–50.2 million EUR from adjusting EETS remuneration. However, key risks and uncertainties remain: unresolved property-rights for the existing SkyToll system may affect new procurement; the financial model relies on qualified estimates that appear overestimated, posing risks to net toll revenue; the assumed EETS share jumps from 5–35% to 85–92% and must be validated; a 5% drop in EETS penetration could reduce net toll revenue by 12.4 million EUR annually; and the proposed EETS fee (5.4% + 0.65 EUR per unit) may be high versus the EC’s 4–5% benchmark. The Ministry issues several pre-signing conditions (legal opinion on system ownership, validation of EETS remuneration and share, sourcing of model inputs, and a contingency plan if EETS share misses 85%), indicating a cautious, conditional stance rather than a clear endorsement."
Modernizácia železničnej trate Hronský Beňadik – Nová Baňa,1.069,,GPT-5.1,Positive,"The Ministry of Finance recommends continuing preparation of the Hronský Beňadik – Nová Baňa rail modernization. The project is deemed necessary, ranked among the highest priorities, part of TEN-T, and would remove 30 km/h speed restrictions to restore 80 km/h, cutting travel time by about 35% (from 14 to 9 minutes). While the study reports a B/C of 1.24 and the project appears socially beneficial, this cannot be clearly proven due to methodological errors (incorrect definition of the no-project variant, miscounted time savings, missing/unclear cost assumptions). Therefore, before launching construction procurement, an updated feasibility study must confirm the project’s return. The review also advises checking reinstatement of the Tekovská Breznica siding to improve returns; investment costs seem broadly reasonable but lack detailed budgeting; and measurable objectives are missing."
Nákup 5 ks ekologických koľajových vozidiel pre osobnú dopravu,1.073,,GPT-5.1,Positive,"The assessment recommends continuing with the project. After correcting errors in the CBA, the project shows a very good social return (BCR 3.20), enables replacement of aging locomotives, improves service quality and operational efficiency on the Prešov–Košice–Čierna nad Tisou corridor, and is planned to be financed from the Recovery and Resilience Plan. It also advises installing ETCS during vehicle production to minimize future costs and downtime."
Nákup 26 ks dieselových motorových jednotiek pre osobnú dopravu,1.075,,GPT-5.1,Neutral,"Proceed only after implementing specified changes to improve viability. The assessment advises: add procurement criteria for vehicle weight and technical condition; lower the minimum seating capacity from 140 to 110 and raise the maximum vehicle age from 16 to 20 years to widen supplier pool; reduce units on Čadca–Makov and Žilina–Rajec from 8 to 6 or procure lighter/smaller (≈70–80 seats) vehicles; consider deploying some units on planned Bratislava–Nitra services; and consider competitive tendering for lines with unsuitable vehicles. The study’s CBA contains major errors; after corrections the BCR ranges from 1.03 (90 t units) to 2.05 (60 t units), so project return is highly sensitive to vehicle weight/condition. Some proposed deployments are over-dimensioned and uneconomical without adjustments."
